Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,difficulty,Task,Condition,Block,Accuracy
1,2,2.0,4.0,1.78026506,0.383787796,0.05,perception,2,2,1
1,2,2.0,4.0,1.123883329,0.417142393,0.05,perception,2,2,1
1,1,1.0,4.0,0.665200597,1.00088426,0.05,perception,2,2,1
1,1,1.0,3.0,3.630982266,2.868900506,0.603974086,perception,2,2,1
1,2,2.0,3.0,3.29665402,2.368548181,0.603974086,perception,2,2,1
1,1,1.0,2.0,2.102218476,0.333742268,0.603974086,perception,2,2,1
1,1,NAN,NAN,NAN,NAN,0.75,perception,2,2,0
1,1,1.0,2.0,3.821563886,2.051710772,0.40029177,perception,2,2,1
1,2,1.0,2.0,4.048305553,1.384497577,0.40029177,perception,2,2,0
1,2,2.0,4.0,1.89218538,0.383814096,0.05,perception,2,2,1
1,2,2.0,4.0,1.177223744,0.36714273,0.05,perception,2,2,1
1,1,1.0,4.0,0.723756768,0.316826183,0.05,perception,2,2,1
1,1,2.0,1.0,3.452564755,0.784066384,0.585309959,perception,2,2,0
1,1,1.0,4.0,0.88368468,0.350420048,0.05,perception,2,2,1
1,1,1.0,4.0,0.971633437,0.41715843,0.05,perception,2,2,1
1,1,1.0,4.0,0.741244719,0.283716946,0.05,perception,2,2,1
1,2,2.0,2.0,3.695738521,2.468617106,0.56576622,perception,2,2,1
1,1,1.0,2.0,2.628569073,0.267030506,0.56576622,perception,2,2,1
1,1,2.0,2.0,4.402556753,0.717355264,0.56576622,perception,2,2,0
1,2,2.0,4.0,1.10029857,0.333741626,0.05,perception,2,2,1
1,2,2.0,4.0,0.729731377,0.317075713,0.05,perception,2,2,1
1,1,1.0,4.0,0.610575327,0.283708286,0.05,perception,2,2,1
1,1,1.0,1.0,3.626059019,0.417130206,0.545301412,perception,2,2,1
1,1,2.0,1.0,1.954371603,2.468698573,0.545301412,perception,2,2,0
1,1,1.0,4.0,1.002417683,0.333754135,0.05,perception,2,2,1
1,2,2.0,3.0,2.239021881,1.984929412,0.05,perception,2,2,1
1,2,2.0,4.0,1.482954179,0.934182441,0.05,perception,2,2,1
1,2,2.0,1.0,4.868066922,1.501243962,0.523872128,perception,2,2,1
1,2,NAN,NAN,NAN,NAN,0.523872128,perception,2,2,0
1,2,2.0,4.0,1.058971519,0.383777532,0.05,perception,2,2,1
1,1,1.0,4.0,0.744347808,0.433817287,0.05,perception,2,2,1
1,2,2.0,4.0,1.441847792,1.634500704,0.05,perception,2,2,1
1,2,1.0,3.0,4.14306539,0.984213857,0.501432913,perception,2,2,0
1,2,2.0,4.0,1.190660841,1.917993137,0.05,perception,2,2,1
1,1,1.0,4.0,1.19118588,0.316828428,0.05,perception,2,2,1
1,1,1.0,4.0,0.54112964,0.316844786,0.05,perception,2,2,1
1,2,2.0,3.0,2.736286833,1.334487009,0.489819793,perception,2,2,1
1,1,2.0,3.0,0.744645448,0.983951177,0.489819793,perception,2,2,0
1,1,1.0,4.0,0.741220343,0.43381408,0.05,perception,2,2,1
1,2,2.0,4.0,0.951237403,0.317070902,0.05,perception,2,2,1
1,2,2.0,4.0,0.808631623,0.317068978,0.05,perception,2,2,1
1,1,1.0,3.0,2.331660392,0.36710745,0.47793617,perception,2,2,1
1,1,2.0,3.0,2.222831935,0.900823032,0.47793617,perception,2,2,0
1,1,1.0,4.0,0.688402081,0.317079241,0.05,perception,2,2,1
1,1,1.0,4.0,0.727942009,1.35093322,0.05,perception,2,2,1
1,2,2.0,4.0,0.810767382,1.051039799,0.05,perception,2,2,1
1,2,2.0,3.0,2.151415025,0.383562962,0.465775741,perception,2,2,1
1,1,2.0,2.0,1.959079318,0.300390235,0.465775741,perception,2,2,0
2,2,2.0,4.0,2.297360777,1.084314256,0.12,perception,2,1,1
2,2,1.0,3.0,2.713667149,1.434565009,0.721719566,perception,2,1,0
2,2,1.0,2.0,2.274184268,1.084306238,0.197430461,perception,2,1,0
2,2,2.0,4.0,1.3992938,0.53365437,0.05,perception,2,1,1
2,1,1.0,4.0,1.472092929,1.000660399,0.05,perception,2,1,1
2,2,2.0,3.0,1.673123973,0.667359995,0.655075848,perception,2,1,1
2,1,1.0,2.0,2.277652084,1.634478282,0.655075848,perception,2,1,1
2,1,1.0,2.0,1.453943342,1.067635573,0.75,perception,2,1,1
2,1,1.0,2.0,3.599196488,1.017593107,0.75,perception,2,1,1
2,1,1.0,3.0,1.519506949,0.617288021,0.75,perception,2,1,1
2,1,1.0,3.0,1.84363682,0.917531269,0.75,perception,2,1,1
2,1,2.0,4.0,1.730910972,0.717369104,0.75,perception,2,1,0
2,2,1.0,3.0,2.716339215,0.533909678,0.342433002,perception,2,1,0
2,1,1.0,4.0,1.487884452,0.367797353,0.05,perception,2,1,1
2,1,1.0,4.0,1.14347241,0.450154788,0.05,perception,2,1,1
2,1,1.0,4.0,0.913102522,0.633959649,0.621798188,perception,2,1,1
2,1,2.0,3.0,1.49499168,0.700692024,0.621798188,perception,2,1,0
2,2,2.0,4.0,1.049291298,0.383562575,0.05,perception,2,1,1
2,2,2.0,4.0,1.080575737,0.517222013,0.05,perception,2,1,1
2,1,2.0,2.0,0.914561558,0.517007119,0.603974086,perception,2,1,0
2,1,1.0,4.0,0.892170856,0.533896527,0.05,perception,2,1,1
2,2,2.0,4.0,1.036796317,0.450510165,0.05,perception,2,1,1
2,2,2.0,4.0,0.883938801,0.500537877,0.585309959,perception,2,1,1
2,1,1.0,2.0,1.854852698,0.784109497,0.585309959,perception,2,1,1
2,1,1.0,2.0,1.481289763,1.217748536,0.75,perception,2,1,1
2,2,1.0,1.0,2.005178311,0.967544547,0.75,perception,2,1,0
2,1,2.0,2.0,1.466200015,0.417164665,0.427283087,perception,2,1,0
2,1,1.0,4.0,1.441434891,0.633711077,0.05,perception,2,1,1
2,1,1.0,4.0,0.909689231,0.383785809,0.05,perception,2,1,1
2,1,2.0,4.0,1.211253918,0.550763484,0.56576622,perception,2,1,0
2,2,2.0,3.0,0.927588642,0.333518506,0.05,perception,2,1,1
2,1,1.0,4.0,0.839840888,0.466957918,0.05,perception,2,1,1
2,2,1.0,2.0,1.362512557,0.3669134,0.545301412,perception,2,1,0
2,2,2.0,4.0,1.123046867,0.450352683,0.05,perception,2,1,1
2,1,1.0,4.0,1.16417988,0.400241259,0.05,perception,2,1,1
2,1,2.0,3.0,1.286533954,0.400213355,0.523872128,perception,2,1,0
2,1,1.0,4.0,1.435850847,0.367106804,0.05,perception,2,1,1
2,2,2.0,4.0,1.243268035,0.450501506,0.05,perception,2,1,1
2,1,1.0,3.0,1.287078246,0.383807619,0.501432913,perception,2,1,1
2,1,2.0,2.0,2.01499032,1.117677076,0.501432913,perception,2,1,0
2,2,2.0,4.0,1.241826961,0.533912244,0.05,perception,2,1,1
2,2,2.0,4.0,0.825060331,0.38362993,0.05,perception,2,1,1
2,2,1.0,2.0,1.834509265,0.784109177,0.489819793,perception,2,1,0
2,1,1.0,4.0,1.680739249,0.600613507,0.05,perception,2,1,1
2,2,2.0,4.0,1.038487888,0.383803129,0.05,perception,2,1,1
2,1,2.0,4.0,1.095174116,0.567281799,0.47793617,perception,2,1,0
2,2,2.0,3.0,1.243369389,0.800566551,0.05,perception,2,1,1
2,1,1.0,4.0,1.389102678,0.483878759,0.05,perception,2,1,1
2,2,2.0,3.0,1.732315162,0.600620563,0.465775741,perception,2,1,1
2,1,2.0,1.0,1.245241856,0.417154723,0.465775741,perception,2,1,0
2,2,2.0,3.0,1.819417592,1.301133295,0.05,perception,2,1,1
2,2,2.0,1.0,2.778449438,0.984229004,0.05,perception,2,1,1
2,2,2.0,3.0,1.50667776,1.517988897,0.45333206,perception,2,1,1
2,2,2.0,3.0,1.572087413,0.917526458,0.45333206,perception,2,1,1
2,2,2.0,2.0,1.440603539,0.617306945,0.685425435,perception,2,1,1
2,2,2.0,2.0,1.685965029,1.050945984,0.685425435,perception,2,1,1
2,2,1.0,3.0,1.797267122,0.633969591,0.75,perception,2,1,0
2,1,1.0,2.0,1.688101784,0.750718773,0.565549793,perception,2,1,1
2,2,2.0,3.0,1.234099105,0.450535504,0.565549793,perception,2,1,1
2,1,1.0,3.0,1.01825511,1.134417021,0.744176752,perception,2,1,1
2,2,2.0,4.0,1.338185561,0.633717492,0.12,perception,2,2,1
2,1,1.0,3.0,0.857706302,0.583931616,0.721719566,perception,2,2,1
2,1,1.0,3.0,1.091849669,0.633993326,0.75,perception,2,2,1
2,1,2.0,2.0,0.965662779,1.067625309,0.75,perception,2,2,0
2,2,2.0,3.0,1.570935643,0.850643977,0.278992124,perception,2,2,1
2,1,1.0,3.0,1.118970611,0.900840718,0.278992124,perception,2,2,1
2,2,1.0,2.0,1.436355688,0.350430366,0.738217863,perception,2,2,0
2,1,1.0,3.0,1.145405175,0.517224259,0.311442824,perception,2,2,1
2,2,2.0,2.0,0.918329264,0.934196802,0.311442824,perception,2,2,1
2,2,2.0,2.0,1.551876123,0.684008529,0.725880451,perception,2,2,1
2,2,2.0,2.0,2.057258744,1.201063759,0.725880451,perception,2,2,1
2,1,1.0,3.0,3.006579614,0.634011929,0.75,perception,2,2,1
2,1,1.0,1.0,1.013653806,0.633954196,0.75,perception,2,2,1
2,2,2.0,2.0,1.696109964,0.80077022,0.75,perception,2,2,1
2,1,2.0,1.0,2.613813148,1.284444668,0.75,perception,2,2,0
2,1,2.0,2.0,1.301067223,0.58367246,0.372028392,perception,2,2,0
2,1,1.0,4.0,1.884079605,0.600616715,0.05,perception,2,2,1
2,2,2.0,4.0,0.933477387,0.367111615,0.05,perception,2,2,1
2,1,1.0,3.0,2.522875658,0.56725614,0.603974086,perception,2,2,1
2,2,2.0,4.0,1.766453846,0.650651803,0.603974086,perception,2,2,1
2,2,2.0,2.0,1.046932592,0.684024566,0.75,perception,2,2,1
2,1,1.0,2.0,2.011670043,0.91752742,0.75,perception,2,2,1
2,2,2.0,2.0,1.475309287,0.450515939,0.75,perception,2,2,1
2,2,1.0,3.0,1.376829648,0.817444734,0.75,perception,2,2,0
2,2,2.0,1.0,1.225087016,0.400451342,0.40029177,perception,2,2,1
2,2,2.0,3.0,2.846903534,0.800757711,0.40029177,perception,2,2,1
2,1,2.0,4.0,1.494908288,0.633756622,0.738217863,perception,2,2,0
2,1,1.0,4.0,1.63147361,0.667328883,0.40029177,perception,2,2,1
2,1,2.0,1.0,2.079969863,0.517208542,0.40029177,perception,2,2,0
2,2,2.0,4.0,1.297809489,0.500931422,0.05,perception,2,2,1
2,2,2.0,4.0,1.423982267,0.950727946,0.05,perception,2,2,1
2,1,1.0,3.0,2.191235071,0.483602603,0.56576622,perception,2,2,1
2,1,2.0,2.0,1.333540958,0.667343316,0.56576622,perception,2,2,0
2,2,2.0,4.0,1.209370546,0.383583744,0.05,perception,2,2,1
2,2,2.0,4.0,0.974603985,0.467180189,0.05,perception,2,2,1
2,2,1.0,1.0,1.565436274,0.650649237,0.545301412,perception,2,2,0
2,2,2.0,4.0,1.224826898,0.633967346,0.05,perception,2,2,1
2,2,2.0,4.0,1.356463443,0.400464172,0.05,perception,2,2,1
2,1,1.0,4.0,1.395371818,0.533904225,0.523872128,perception,2,2,1
2,2,1.0,1.0,2.400605938,0.533902942,0.523872128,perception,2,2,0
2,2,2.0,4.0,1.002975163,0.433819935,0.05,perception,2,2,1
2,1,1.0,4.0,1.019872269,0.400465134,0.05,perception,2,2,1
2,2,2.0,1.0,1.357177405,0.30040105,0.501432913,perception,2,2,1
2,1,2.0,1.0,0.82794665,0.36709622,0.501432913,perception,2,2,0
2,2,2.0,4.0,1.027991104,0.650648275,0.05,perception,2,2,1
2,2,2.0,4.0,1.188074842,0.517245107,0.05,perception,2,2,1
2,2,2.0,1.0,1.678412297,0.567272498,0.489819793,perception,2,2,1
2,2,1.0,1.0,1.451532357,0.48388389,0.489819793,perception,2,2,0
2,2,2.0,4.0,1.24130512,0.450500543,0.05,perception,2,2,1
2,1,1.0,4.0,1.05856094,0.416962601,0.05,perception,2,2,1
2,2,1.0,1.0,1.746161411,0.3504278,0.47793617,perception,2,2,0
2,1,1.0,3.0,1.51517282,1.167526137,0.05,perception,2,2,1
2,2,2.0,4.0,1.046979099,0.300243568,0.05,perception,2,2,1
2,2,1.0,1.0,2.331516782,0.917500478,0.465775741,perception,2,2,0
2,2,2.0,4.0,1.20645536,0.383796072,0.05,perception,2,2,1
2,1,1.0,4.0,0.704132898,0.38379062,0.05,perception,2,2,1
2,2,1.0,2.0,1.578588446,0.500312399,0.45333206,perception,2,2,0
2,1,1.0,4.0,1.152848857,0.667114951,0.05,perception,2,2,1
2,1,1.0,4.0,1.2889799,0.450505996,0.05,perception,2,2,1
2,1,2.0,3.0,0.950769963,0.317071395,0.440598527,perception,2,2,0
2,2,2.0,3.0,2.486660566,1.034098698,0.12,perception,1,1,1
2,2,1.0,2.0,3.022732251,1.251150709,0.721719566,perception,1,1,0
2,1,1.0,3.0,1.947179493,0.800752182,0.197430461,perception,1,1,1
2,2,1.0,3.0,1.598426614,0.684073793,0.197430461,perception,1,1,0
2,2,2.0,4.0,0.956116389,0.467498711,0.05,perception,1,1,1
