Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Block,AveStim,Duration,Condition
2,45,32.0,7,5.31527,2.14216,1,31,100,0
2,31,35.0,5,4.861305,1.86263,1,31,2000,1
2,36,41.0,7,3.817185,4.13464,1,31,2000,1
2,37,31.0,3,8.68424,1.91865,1,31,100,0
2,41,32.0,5,5.124185,1.93247,1,31,2000,1
2,25,25.0,3,3.580285,1.686755,1,31,100,0
2,18,19.0,8,3.49459,2.598355,1,31,2000,1
2,40,35.0,5,4.32602,1.974515,1,31,100,0
2,21,23.0,9,5.76791,1.974555,2,36,100,0
2,40,38.0,7,4.60625,2.22248,2,36,2000,1
2,47,37.0,7,4.856145,1.877525,2,36,100,0
2,43,35.0,7,4.17092,2.366425,2,36,2000,1
2,36,31.0,5,4.034215,2.574475,2,36,100,0
2,39,28.0,6,3.841775,3.18258,2,36,2000,1
2,34,29.0,7,3.902455,3.00646,2,36,2000,1
2,24,25.0,3,3.711045,3.166755,2,36,100,0
2,43,40.0,7,4.56941,2.79832,2,36,2000,1
2,38,37.0,5,5.344535,2.062665,2,36,100,0
2,29,29.0,3,5.036775,2.84525,2,36,2000,1
2,26,25.0,4,4.740845,3.094445,2,36,100,0
2,23,30.0,6,8.50123,2.18233,2,36,100,0
2,28,25.0,4,3.94296,4.030495,2,36,2000,1
2,31,32.0,8,4.729765,3.174435,2,36,2000,1
2,28,29.0,6,6.127915,1.95096,2,36,100,0
2,46,39.0,3,6.005545,5.03029,2,36,100,0
2,43,40.0,4,6.139545,4.678435,2,36,2000,1
2,42,36.0,8,3.992695,3.3184,2,36,2000,1
2,32,32.0,6,3.87304,1.998665,2,36,100,0
2,41,31.0,6,6.57813,2.638145,2,36,100,0
2,41,37.0,7,3.66734,2.062495,2,36,2000,1
2,31,25.0,6,5.66064,2.622485,2,36,100,0
2,49,42.0,6,3.59602,1.99867,2,36,2000,1
2,24,23.0,9,3.40283,2.55844,2,36,2000,1
2,27,26.0,8,4.627195,2.35008,2,36,100,0
2,38,30.0,5,4.088075,2.47818,2,36,100,0
2,24,20.0,5,4.445135,2.06225,2,36,2000,1
2,39,31.0,8,4.693285,3.326335,2,36,2000,1
2,22,25.0,5,4.20796,2.08625,2,36,100,0
2,28,23.0,7,3.514145,1.982325,2,36,100,0
2,46,39.0,7,7.160685,1.742155,2,36,2000,1
2,23,23.0,6,6.01022,2.894255,2,36,100,0
2,42,40.0,6,7.245845,2.406695,2,36,2000,1
2,50,35.0,4,4.1645,3.157925,2,36,100,0
2,41,36.0,8,4.40029,2.48646,2,36,2000,1
