Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Order,Scale,Block
22,1,2,2.0,0.79721,0.41692,7,DS,PAS,1
22,1,1,4.0,0.74989,0.26695,3,DS,PAS,1
22,1,1,4.0,0.7105,0.22128,10,DS,PAS,1
22,1,1,3.0,1.03179,0.18611,12,DS,PAS,1
22,2,2,4.0,0.67679,0.29866,6,DS,PAS,1
22,1,1,4.0,0.62961,0.65974,9,DS,PAS,1
22,1,1,2.0,1.49555,0.34111,9,DS,PAS,1
22,1,1,4.0,0.81524,0.74128,6,DS,PAS,1
22,2,2,4.0,0.80001,0.14694,5,DS,PAS,1
22,2,2,4.0,0.75003,0.10751,4,DS,PAS,1
22,1,1,3.0,0.99539,0.3413,5,DS,PAS,1
22,2,2,4.0,0.94246,0.29768,3,DS,PAS,1
22,1,1,3.0,0.78706,0.15193,3,DS,PAS,1
22,2,2,4.0,0.68218,0.36079,7,DS,PAS,1
22,1,2,2.0,2.01525,1.13573,3,DS,PAS,1
22,2,2,4.0,0.75447,0.31007,5,DS,PAS,1
22,1,1,4.0,0.78272,0.03754,4,DS,PAS,1
22,2,2,4.0,1.07449,0.22907,9,DS,PAS,1
22,2,2,4.0,0.828,0.26052,3,DS,PAS,1
22,2,2,4.0,0.7072,0.0354,7,DS,PAS,1
22,1,1,1.0,1.02947,0.38171,11,DS,PAS,1
22,1,1,3.0,0.94651,0.5011,4,DS,PAS,1
22,1,1,3.0,0.67132,1.50039,11,DS,PAS,1
22,2,2,4.0,0.75232,0.22853,5,DS,PAS,1
22,2,2,4.0,0.9068,0.54991,1,DS,PAS,1
22,1,1,4.0,0.59105,0.41667,7,DS,PAS,1
22,2,2,2.0,0.95104,0.10837,8,DS,PAS,1
22,1,1,3.0,1.17757,0.10235,7,DS,PAS,1
22,2,2,4.0,0.75061,0.3855,6,DS,PAS,1
22,2,2,4.0,0.55688,0.43141,9,DS,PAS,1
22,1,1,3.0,0.66856,0.11057,11,DS,PAS,1
22,2,2,4.0,0.62806,0.02295,5,DS,PAS,1
22,1,1,3.0,0.67714,0.04621,9,DS,PAS,1
22,2,2,4.0,0.60777,1.58193,7,DS,PAS,1
22,1,1,3.0,0.58886,0.19347,2,DS,PAS,1
22,2,2,2.0,1.22214,0.35008,6,DS,PAS,1
22,1,1,4.0,0.55177,0.07086,1,DS,PAS,1
22,2,2,4.0,0.59867,0.14119,1,DS,PAS,1
22,2,2,2.0,0.90286,0.82821,10,DS,PAS,1
22,1,1,4.0,0.58571,0.42817,2,DS,PAS,1
22,1,1,4.0,0.82613,0.29717,8,DS,PAS,1
22,2,2,4.0,0.64795,0.30367,6,DS,PAS,1
22,2,2,3.0,1.1482,0.02603,11,DS,PAS,1
22,2,2,4.0,0.93935,0.82691,5,DS,PAS,1
22,1,2,2.0,1.57841,0.26027,9,DS,PAS,1
22,2,2,3.0,0.74659,0.42106,9,DS,PAS,1
22,1,1,2.0,0.91269,0.34214,10,DS,PAS,1
22,1,2,1.0,1.9341,0.34498,2,DS,PAS,1
22,2,2,2.0,1.02541,0.41617,10,DS,PAS,1
22,1,1,4.0,0.7492,0.22678,4,DS,PAS,1
22,2,2,3.0,0.86529,0.22495,8,DS,PAS,1
22,1,1,2.0,1.65304,0.31311,4,DS,PAS,1
22,1,1,4.0,0.78603,0.31812,8,DS,PAS,1
22,1,1,3.0,1.34576,0.46041,8,DS,PAS,1
22,1,1,4.0,0.98102,1.37473,1,DS,PAS,1
22,1,2,3.0,1.71132,0.37866,5,DS,PAS,1
22,2,2,3.0,1.58049,1.17398,8,DS,PAS,1
22,2,1,1.0,2.22283,1.1041,12,DS,PAS,1
22,1,2,1.0,1.90582,1.34091,10,DS,PAS,1
22,1,1,4.0,0.91479,0.70114,1,DS,PAS,1
22,1,1,2.0,1.2658,0.30554,10,DS,PAS,1
22,2,2,4.0,0.83784,0.23954,1,DS,PAS,1
22,2,2,4.0,0.75923,0.2585,5,DS,PAS,1
22,2,2,3.0,0.74486,0.30026,9,DS,PAS,1
22,1,1,4.0,0.75006,1.97169,4,DS,PAS,1
22,1,1,4.0,0.87225,0.31208,1,DS,PAS,1
22,2,2,4.0,0.78807,0.19138,5,DS,PAS,1
22,2,2,2.0,0.94276,0.37741,10,DS,PAS,1
22,2,2,4.0,0.66759,0.34618,3,DS,PAS,1
22,1,1,1.0,1.18192,0.30506,12,DS,PAS,1
22,2,2,3.0,0.71837,0.42148,9,DS,PAS,1
22,2,2,4.0,0.83696,0.22972,6,DS,PAS,1
22,1,1,4.0,0.6275,0.45956,3,DS,PAS,1
22,1,1,4.0,0.82185,0.27212,1,DS,PAS,1
22,2,2,4.0,0.75848,0.01991,6,DS,PAS,1
22,2,2,4.0,0.95469,0.07228,8,DS,PAS,1
22,2,2,4.0,0.71917,0.07023,4,DS,PAS,1
22,1,1,4.0,0.7227,0.0353,6,DS,PAS,1
22,2,2,3.0,0.83443,0.06402,11,DS,PAS,1
22,2,2,4.0,0.75059,0.82184,3,DS,PAS,1
22,1,1,1.0,2.45889,0.29721,12,DS,PAS,1
22,2,2,4.0,0.90893,0.53535,4,DS,PAS,1
22,2,2,4.0,0.7152,0.58161,7,DS,PAS,1
22,2,2,4.0,0.63211,0.30457,8,DS,PAS,1
22,1,1,4.0,0.63547,0.26936,2,DS,PAS,1
22,2,2,4.0,0.63678,0.30912,9,DS,PAS,1
22,1,1,4.0,0.54402,0.19079,6,DS,PAS,1
22,1,1,4.0,0.65661,0.07572,5,DS,PAS,1
22,1,1,2.0,0.90082,0.783,12,DS,PAS,1
22,1,2,4.0,0.63333,1.45554,1,DS,PAS,1
22,1,1,4.0,0.63537,0.15014,9,DS,PAS,1
22,1,1,3.0,0.54714,0.97794,4,DS,PAS,1
22,2,2,4.0,0.62795,0.10223,3,DS,PAS,1
22,1,1,4.0,0.5142,0.0666,7,DS,PAS,1
22,1,1,3.0,0.6002,0.46558,10,DS,PAS,1
22,1,2,4.0,0.67274,0.23223,8,DS,PAS,1
22,1,1,3.0,0.62984,0.32016,2,DS,PAS,1
22,1,1,4.0,0.51541,0.22648,4,DS,PAS,1
22,1,2,1.0,2.09397,0.41708,11,DS,PAS,1
22,2,1,1.0,2.33567,0.30775,12,DS,PAS,1
22,2,2,4.0,0.58551,0.22871,4,DS,PAS,1
22,1,1,2.0,0.66594,0.66279,11,DS,PAS,1
22,1,1,4.0,0.74577,0.38172,3,DS,PAS,1
22,2,2,4.0,0.55333,0.30345,2,DS,PAS,1
22,2,2,4.0,0.67748,0.06195,8,DS,PAS,1
22,2,2,4.0,0.74851,0.22497,1,DS,PAS,1
22,2,2,4.0,0.54648,0.06445,2,DS,PAS,1
22,1,1,4.0,0.70844,1.24997,1,DS,PAS,1
22,1,1,4.0,0.59058,0.9882,10,DS,PAS,1
22,2,2,4.0,0.59882,0.06681,10,DS,PAS,1
22,2,2,3.0,1.1103,0.17988,12,DS,PAS,1
22,1,1,4.0,0.54842,0.38475,6,DS,PAS,1
22,2,2,4.0,0.59586,0.26205,9,DS,PAS,1
22,2,2,1.0,1.26376,0.34211,12,DS,PAS,1
22,2,2,4.0,0.62619,0.14862,7,DS,PAS,1
35,1,1,2.0,1.86187,0.49848,3,DS,PAS,1
35,2,2,1.0,3.00902,0.37467,12,DS,PAS,1
35,1,1,2.0,3.88684,2.16938,12,DS,PAS,1
35,1,1,2.0,2.65162,1.76741,7,DS,PAS,1
35,2,2,2.0,0.79118,1.50602,10,DS,PAS,1
35,2,2,3.0,0.95505,2.01384,2,DS,PAS,1
35,1,1,3.0,0.82373,1.77944,8,DS,PAS,1
35,2,2,2.0,1.05904,0.33682,11,DS,PAS,1
35,1,1,2.0,1.46551,0.34427,11,DS,PAS,1
35,1,1,2.0,1.37715,1.68632,4,DS,PAS,1
35,1,1,2.0,1.38452,0.3465,6,DS,PAS,1
35,1,1,3.0,1.30009,0.30601,5,DS,PAS,1
35,2,2,3.0,1.62975,1.76675,4,DS,PAS,1
35,1,2,2.0,1.46403,0.34154,9,DS,PAS,1
35,1,1,3.0,1.19724,0.4618,6,DS,PAS,1
35,1,1,2.0,1.97224,0.31072,5,DS,PAS,1
35,2,2,3.0,1.34058,0.33482,10,DS,PAS,1
35,2,2,3.0,1.26884,0.34633,9,DS,PAS,1
35,2,2,4.0,1.5759,2.73063,2,DS,PAS,1
35,2,2,2.0,1.58815,0.27391,12,DS,PAS,1
35,2,2,2.0,1.2349,0.34597,11,DS,PAS,1
35,1,1,4.0,1.53732,0.54716,2,DS,PAS,1
35,2,2,4.0,1.22475,1.12833,8,DS,PAS,1
35,2,2,4.0,1.30104,0.70211,2,DS,PAS,1
35,2,2,3.0,1.22945,0.97453,10,DS,PAS,1
35,2,2,4.0,1.31402,0.3022,4,DS,PAS,1
35,1,1,2.0,1.66256,0.42031,9,DS,PAS,1
35,1,1,3.0,1.18839,1.38074,5,DS,PAS,1
35,2,2,4.0,1.38258,0.61492,1,DS,PAS,1
35,1,1,2.0,1.38092,0.39928,8,DS,PAS,1
35,2,2,4.0,1.42511,0.53396,2,DS,PAS,1
35,2,2,4.0,1.14885,0.81892,7,DS,PAS,1
35,2,2,4.0,1.30887,0.28246,4,DS,PAS,1
35,2,2,4.0,1.30624,0.27133,6,DS,PAS,1
35,2,2,2.0,1.27203,1.97444,11,DS,PAS,1
35,2,2,2.0,2.69998,0.34317,12,DS,PAS,1
35,2,2,2.0,1.2209,0.46747,11,DS,PAS,1
35,2,2,3.0,1.18882,0.78585,7,DS,PAS,1
35,1,1,2.0,1.14733,0.343,11,DS,PAS,1
35,1,1,4.0,1.55106,0.54464,3,DS,PAS,1
35,1,1,3.0,1.21902,0.3432,9,DS,PAS,1
