Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,SN,Day,Accuracy,Condition,Block
1,1,1,4,0.691824546,0.29582537,0.170604965,1,1,2,11
1,2,2,2,2.153269118,0.530684377,0.13697113,1,1,2,11
1,2,2,2,1.771132788,0.451998454,0.13697113,1,1,2,11
1,1,1,3,0.669917257,0.24316029,0.107250934,1,1,2,11
1,2,2,3,1.077993896,0.235902792,0.107250934,1,1,2,11
1,1,1,3,0.733149826,0.288852314,0.081695202,1,1,2,11
1,2,1,1,1.617777777,1.475010841,0.081695202,1,0,2,11
1,2,2,3,2.209325134,0.250417006,0.102894377,1,1,2,11
1,1,1,2,0.859822136,0.345667308,0.102894377,1,1,2,11
1,1,1,3,1.433602922,0.336223434,0.078022209,1,1,2,11
1,1,1,3,1.150461923,0.240103089,0.078022209,1,1,2,11
1,2,2,1,1.747654425,0.302231464,0.057527722,1,1,2,11
1,1,1,2,0.925165919,0.712144599,0.057527722,1,1,2,11
1,1,1,1,1.641977548,0.135138618,0.041449938,1,1,2,11
1,1,1,1,0.783579716,0.189862686,0.041449938,1,1,2,11
1,2,1,1,1.475099859,0.280205161,0.02960082,1,0,2,11
1,1,1,2,1.929694277,0.301816905,0.041449938,1,1,2,11
1,1,1,2,1.342009641,0.664094383,0.041449938,1,1,2,11
1,2,1,1,0.97072751,0.579524959,0.02960082,1,0,2,11
1,1,1,1,1.112585108,0.332389742,0.041449938,1,1,2,11
1,1,2,2,1.227588677,0.329516081,0.041449938,1,0,2,11
1,2,1,1,1.080901534,0.269505627,0.053299056,1,0,2,11
1,1,1,2,1.10285239,0.387425632,0.065148174,1,1,2,11
1,1,2,1,1.184632412,0.336346149,0.065148174,1,0,2,11
1,1,1,2,1.120270627,0.850210829,0.082974804,1,1,2,11
1,1,1,1,0.894048666,1.064911992,0.082974804,1,1,2,11
1,2,2,1,1.996012395,0.380356596,0.061535404,1,1,2,11
1,2,1,1,1.129133059,0.315404374,0.061535404,1,0,2,11
1,2,2,2,1.169920295,0.291083537,0.3,1,1,3,12
1,1,1,3,0.692969444,0.280498299,0.3,1,1,3,12
1,1,1,4,0.506068219,0.261911485,0.255697168,1,1,3,12
1,2,2,4,1.191521122,0.264656582,0.255697168,1,1,3,12
1,2,2,4,0.907493417,0.279113413,0.214491089,1,1,3,12
1,1,1,4,0.696601204,0.25181074,0.214491089,1,1,3,12
1,2,2,4,1.613703059,0.20506174,0.176624988,1,1,3,12
1,1,1,4,0.466877848,0.271343459,0.176624988,1,1,3,12
1,1,1,4,0.70450175,0.29177153,0.142359439,1,1,3,12
1,2,2,4,1.014010756,0.316797055,0.142359439,1,1,3,12
1,1,1,2,4.47555635,0.266526836,0.111962849,1,1,3,12
1,1,1,3,0.635953745,0.242943683,0.111962849,1,1,3,12
1,2,2,2,3.188783021,0.165652225,0.085691244,1,1,3,12
