Subj_idx,Block,Trial,RT_stop,Stimulus,Response,Error,Confidence,RT_confidence,ErrorDirectionJudgment,RT_directionJudgment
2,3,82,4.26521541950113,11,11,0,3,0.747209493070841,-1,0.295889768749475
2,3,83,4.96471655328798,11,13,2,2,0.429179333150387,-1,1.07207011990249
2,3,84,4.22312925170068,11,11,0,3,0.398896960541606,-1,0.0979050509631634
2,3,85,4.32761904761905,11,11,0,3,0.425524555146694,-1,0.147712100297213
2,3,86,4.74848072562358,11,12,1,2,2.20679944753647,-1,0.480790439993143
2,3,87,4.51192743764172,11,11,0,3,0.312790924683213,-1,0.120563991367817
2,3,88,4.54530612244898,11,13,2,1,1.38019337877631,-1,0.534301582723856
2,3,89,4.99954648526077,11,12,1,2,0.571739636361599,-1,0.296293260529637
2,3,90,4.85006802721088,11,12,1,2,0.479011839255691,-1,0.383671311661601
2,3,91,5.45233560090703,11,13,2,1,0.803614843636751,-1,0.350585808977485
2,4,1,2.46857142857143,7,6,-1,2,1.29802270792425,-1,2.01600582711399
2,4,2,2.63836734693878,7,7,0,2,0.940347783267498,-1,1.12874807603657
2,4,3,2.51646258503401,7,7,0,3,0.7024409417063,-1,0.34072751738131
2,4,4,2.86766439909297,7,7,0,3,0.193499905988574,-1,0.0546016693115234
2,4,5,3.03746031746032,7,7,0,3,0.218215126544237,-1,0.016920005902648
2,4,6,2.75446712018141,7,8,1,3,0.344336559996009,-1,0.110010962933302
2,4,7,2.66884353741497,7,7,0,2,3.65037632733583,-1,0.0725582204759121
2,4,8,2.48453514739229,7,7,0,3,2.69697604328394,-1,0.0169205348938704
2,4,9,2.37133786848073,7,7,0,3,1.4320828281343,-1,0.368194084614515
2,4,10,0.0058049886621315,7,1,-6,1,3.33752545900643,-1,0.211367992684245
2,4,11,2.83573696145125,7,8,1,2,2.11440978385508,-1,0.0647018607705832
2,4,12,2.87201814058957,7,7,0,3,0.276210006326437,-1,0.149157183244824
2,4,13,0.0058049886621315,7,1,-6,1,2.28730355203152,-1,0.0560471918433905
2,4,14,2.90975056689342,7,7,0,3,0.34725608676672,-1,0.0168118868023157
2,4,15,2.5687074829932,7,7,0,3,0.572956236079335,-1,0.121941436082125
2,4,16,2.87492063492064,7,7,0,3,0.554281264543533,-1,0.0870680492371321
2,4,17,2.61079365079365,7,7,0,3,0.17069449275732,-1,0.0169394090771675
2,4,18,2.62095238095238,7,7,0,3,0.175073834136128,-1,0.0170898269861937
2,4,19,1.96789115646258,7,6,-1,2,0.347640547901392,-1,0.0165939833968878
2,4,20,2.58031746031746,7,6,-1,2,0.230188559740782,-1,0.0160230845212936
2,4,21,3.16371882086168,7,8,1,2,0.712327145040035,-1,0.0164755377918482
2,4,22,3.04036281179138,7,7,0,3,0.193006841465831,-1,0.0165163166821003
2,4,23,2.51356009070295,7,7,0,1,0.27286633476615,-1,0.0416896622627974
2,4,24,2.32199546485261,7,7,0,2,0.348713353276253,-1,0.0498419273644686
2,4,25,2.2465306122449,7,6,-1,2,0.951248371973634,-1,0.0499681755900383
2,4,26,2.18557823129252,7,6,-1,1,0.682017529383302,-1,0.450041243806481
2,4,27,2.83718820861678,7,7,0,2,1.2413576208055,-1,7.09831994771957
2,4,28,2.25233560090703,7,6,-1,2,0.66764117218554,-1,0.016584163531661
2,4,29,2.31328798185941,7,6,-1,2,0.784708259627223,-1,0.0159303471446037
2,4,30,2.73560090702948,7,7,0,3,0.139817379415035,-1,0.0166337732225657
2,4,31,2.83863945578231,7,7,0,3,0.228681394830346,-1,0.0160944610834122
2,4,32,3.70068027210884,7,9,2,3,0.196844883263111,-1,0.0245525799691677
2,4,33,3.27546485260771,7,8,1,2,1.05089635401964,-1,0.0161304473876953
2,4,34,3.2928798185941,7,8,1,2,0.429816709831357,-1,0.158307179808617
2,4,35,3.10131519274376,7,9,2,1,0.503369003534317,-1,0.174313474446535
2,4,36,2.70802721088435,7,7,0,3,0.21945222094655,-1,0.020028579980135
2,4,37,3.14195011337868,7,9,2,2,0.239377543330193,-1,0.105973811820149
2,4,38,1.00281179138322,7,3,-4,1,4.09498602151871,-1,0.0162324700504541
2,4,39,3.30884353741497,7,8,1,3,0.286434540525079,-1,1.05555482953787
2,4,40,2.93877551020408,7,7,0,3,0.265697330236435,-1,0.18621370382607
2,4,41,3.29142857142857,7,8,1,2,1.97876861877739,-1,0.155608618631959
2,4,42,3.06793650793651,7,7,0,3,3.45401298254728,-1,0.0159693248569965
2,4,43,2.4584126984127,7,8,1,2,0.301554124802351,-1,6.61209193430841
