Subj_idx,Block,Trial,Stimulus,Response,RT_dec,Confidence,RT_conf,ErrorDirectionJudgment,RT_directionJudgment
7,1,53,16,15,1.73613504786044,1,0.804097187006846,-1,1.02191986003891
7,1,54,15,12,2.45313393301331,1,1.19649820891209,-1,1.33390763006173
7,1,55,26,26,2.41992639098316,1,0.756939471000805,1,1.8074626440648
7,1,56,13,12,2.03545314492658,1,0.972350775031373,-1,1.22364159906283
7,1,57,29,25,1.88606381509453,1,2.05093511310406,-1,1.30516483006068
7,1,58,25,18,3.40457600285299,1,0.707510768901557,-1,1.08873981796205
7,1,59,18,20,2.60338326194324,1,2.03409584006295,-1,0.44176979502663
7,1,60,14,10,1.90256132488139,2,1.58386538992636,-1,1.00774004496634
7,1,61,11,8,2.08644568291493,1,1.20955239795148,-1,1.49113491806202
7,1,62,7,7,2.83651187317446,2,1.0997385608498,-1,0.441896378062665
7,1,63,18,15,1.73569975909777,2,1.20783541584387,-1,0.93049791501835
7,1,64,28,20,1.88534599007107,1,1.1720127388835,-1,0.367194258142263
7,1,65,22,20,2.03545182710513,1,2.70848612510599,-1,0.479846515925601
7,1,66,13,10,2.55297881690785,1,1.29433015803806,-1,0.565226905047894
7,1,67,11,9,2.90358688402921,1,1.34242116683163,-1,0.961693310877308
7,1,68,25,15,1.96847372292541,1,1.71673454996198,-1,0.832551229046658
7,1,69,20,15,1.81883432995528,1,0.808053573127836,-1,0.433860345045105
7,1,70,29,20,1.75158625212498,1,0.715795215917751,-1,0.527665512869135
7,1,71,11,9,2.46895638806745,1,0.783961198991165,-1,0.482911058934405
7,1,72,24,15,2.46955029992387,1,1.22951545403339,-1,3.45388972712681
7,1,73,9,9,4.00488097802736,2,1.04751322395168,-1,0.75144547293894
7,1,74,14,14,2.8194131848868,2,1.58779461402446,-1,2.08577894489281
7,1,75,12,14,2.96991187497042,2,1.60862386715598,1,0.890596777899191
7,1,76,4,4,2.18620212515816,3,1.08185505005531,-1,3.43904854403809
7,1,77,12,12,5.08914972096682,1,2.83208976290189,-1,0.41428671986796
7,1,78,7,7,2.66997292288579,3,1.25253439322114,-1,1.01986573101021
7,1,79,16,15,1.61758292792365,1,1.08881961903535,-1,1.33326552808285
7,1,80,9,8,3.8543740210589,2,0.824687252985314,-1,0.44311192096211
7,1,81,9,9,4.23760581482202,2,0.967690392863005,-1,0.426532885059714
7,1,82,9,10,1.93525293003768,2,1.48538967315108,-1,0.858485447941348
7,1,83,11,15,1.78522503003478,1,1.18510766001418,-1,0.388205280993134
7,1,84,19,25,2.00203718198463,1,1.1259147298988,1,1.20263464306481
7,1,85,11,10,1.8030253900215,1,1.17834003292955,-1,0.758081986801699
7,1,86,7,8,1.80145462509245,1,1.22719009709544,-1,3.53217984107323
7,1,87,10,10,3.3704780980479,1,1.13972378289327,1,1.60797388106585
7,1,88,28,25,1.75209169508889,1,1.97206716099754,-1,0.853498747106642
7,1,89,29,30,1.90168669493869,1,1.2465684779454,-1,0.637827365892008
7,1,90,22,15,2.68716745008714,1,0.82233003503643,-1,0.44023812818341
7,1,91,4,4,1.46851799194701,3,1.23692874005064,-1,0.387631467776373
7,1,92,6,7,1.85182501003146,3,1.00694699585438,1,1.84937094105408
7,1,93,11,16,4.47093230695464,2,2.07136618997902,-1,1.25363671011291
7,1,94,14,15,1.78573124203831,1,1.04898359207436,-1,2.17720989510417
7,1,95,29,25,1.65178935998119,1,0.882020126096904,1,1.85544757009484
7,1,96,20,15,1.8863365999423,1,1.05845645209774,1,1.13850390003063
7,1,97,22,15,1.61852460983209,1,0.778382742078975,1,0.518290535081178
7,1,98,29,20,1.75199472112581,1,0.906256183050573,1,1.07989912293851
7,1,99,16,14,3.05376128805801,1,1.29110355488956,1,1.2729964479804
7,1,100,16,12,1.88610699004494,1,0.887115691090003,-1,1.9982111689169
7,1,101,29,20,1.85221426002681,1,1.0157151450403,-1,0.568989783059806
7,1,102,9,9,2.38579201209359,2,1.01710655004717,-1,1.07353286189027
7,1,103,29,20,1.73518072813749,1,1.04745102999732,1,3.15875257807784
7,1,104,12,12,1.88637192500755,1,0.788873990997672,-1,0.487626367947087
7,1,105,14,12,2.48636693996377,1,0.934784362791106,-1,3.57877329504117
7,1,106,7,7,2.7866264351178,3,1.37380718509667,-1,0.697536987951025
7,1,107,22,20,1.56924742390402,1,1.46809293306433,1,3.2584248681087
7,1,108,7,7,3.48700721818022,3,1.19207683182321,-1,1.05820321291685
7,1,109,22,15,2.3866946301423,1,1.36367422994226,-1,0.863440566929057
7,1,110,22,15,1.70202773390338,1,0.834821417927742,-1,0.395767772104591
7,1,111,4,4,1.88535725488327,3,1.53097348101437,-1,0.655069933040068
7,1,112,4,4,3.45395773998462,3,2.81668508588336,-1,2.04817968118005
7,1,113,25,20,2.13504051812924,1,1.18067703093402,-1,7.20572469313629
7,1,114,12,15,4.00529076508246,1,1.11055699503049,1,0.867065146099776
7,1,115,11,10,1.65165387489833,1,1.07265549711883,1,0.855741618899629
7,1,116,15,15,1.40067605511285,1,0.993742511142045,1,0.941011449089274
7,1,117,7,8,2.90364496503025,1,1.04051885288209,-1,1.67340681096539
7,1,118,20,15,1.66854043514468,1,1.08505937992595,1,1.56298220297322
7,1,119,4,4,1.33406912302598,3,1.14180554985069,-1,2.05633213883266
7,1,120,7,7,3.01952546997927,2,0.741414069896564,-1,2.09785515791737
7,1,121,5,6,2.60224631498568,2,0.963205870939419,1,1.46160043403506
7,1,122,25,20,2.00155623606406,1,1.37648236216046,-1,0.683428379008546
7,1,123,29,20,1.80263185291551,1,0.416606710059568,-1,0.482880837051198
7,1,124,29,15,2.08588505606167,1,0.689341895049438,-1,1.68821189505979
7,1,125,28,18,2.0862402501516,1,0.749918405897915,1,1.01010320498608
7,1,126,11,8,2.20197288203053,1,0.629847072996199,-1,7.09345299983397
7,1,127,11,10,2.0690765879117,1,0.794645505957305,-1,1.58894301019609
7,1,128,15,14,1.8013568809256,1,0.658630307065323,-1,0.371690274216235
7,1,129,7,6,2.87024496006779,2,0.47638428513892,-1,1.62856798316352
7,1,130,16,15,1.63517882302403,1,1.21224896819331,-1,0.725194704951718
7,1,131,16,12,2.31971009005792,1,0.404511605156586,1,1.03138449811377
7,1,132,6,6,3.1697841649875,2,0.996184028917924,-1,1.3336615851149
