Subj_idx,Stimulus,Response,Confidence,RT_dec,Load,Condition,Accuracy,Task,Block
2,1,1,2,1.51096791999998,1.0,1.0,1,wm,3
2,0,0,2,1.789900794,1.0,0.5,1,wm,3
2,1,1,2,1.19815955700005,1.0,1.0,1,wm,3
2,1,1,2,1.32718831700049,1.0,1.0,1,wm,3
2,1,0,2,1.45624610999994,1.0,1.0,0,wm,3
2,0,0,2,1.34551742800022,1.0,1.0,1,wm,3
2,1,0,2,1.14793936100023,1.0,1.0,0,wm,3
2,0,1,2,1.38764980700034,1.0,1.0,0,wm,3
2,1,0,2,1.5575379310003,1.0,1.0,0,wm,3
2,0,1,2,1.49723864599991,1.0,0.5,0,wm,3
2,0,1,2,1.56872584500024,1.0,1.0,0,wm,3
2,0,0,2,1.23160824200022,1.0,0.5,1,wm,3
2,1,0,2,1.18529521299979,1.0,1.0,0,wm,3
2,1,1,2,1.22482694000018,1.0,0.5,1,wm,3
2,0,1,1,1.31191092100016,1.0,1.0,0,wm,3
2,0,0,2,1.02621570100018,1.0,0.5,1,wm,3
2,0,0,2,0.939250018000166,1.0,1.0,1,wm,3
2,0,0,2,1.22752018799974,1.0,1.0,1,wm,3
2,0,0,2,1.68270506900035,1.0,1.0,1,wm,3
2,0,0,2,1.10219645500001,1.0,0.5,1,wm,3
2,0,0,2,1.75726009900018,1.0,0.5,1,wm,3
2,0,0,2,0.87766999600035,1.0,0.5,1,wm,3
2,0,0,2,0.893505063000248,1.0,0.5,1,wm,3
2,1,1,2,1.1618687160003,1.0,1.0,1,wm,3
2,1,0,2,0.851040500000181,1.0,1.0,0,wm,3
2,0,1,2,1.13297459200021,1.0,0.5,0,wm,3
2,1,0,2,0.786272327000006,1.0,1.0,0,wm,3
2,0,0,2,1.05091294000022,1.0,0.5,1,wm,3
2,1,0,2,1.14920463600038,1.0,0.5,0,wm,3
2,1,1,1,1.31809448200011,3.0,0.5,1,wm,4
2,1,1,1,1.03903181799978,3.0,1.0,1,wm,4
2,0,0,1,0.274024825000197,3.0,0.5,1,wm,4
2,0,0,1,2.06770201400013,3.0,0.5,1,wm,4
2,1,0,1,2.20880340500025,3.0,1.0,0,wm,4
2,0,0,1,1.84523720300012,3.0,1.0,1,wm,4
2,1,1,1,1.8456721030002,3.0,0.5,1,wm,4
2,0,1,1,1.00569128300003,3.0,0.5,0,wm,4
2,1,1,1,1.01448637900012,3.0,0.5,1,wm,4
2,0,1,1,1.12385572400035,3.0,1.0,0,wm,4
2,1,0,1,0.854865249999875,3.0,1.0,0,wm,4
2,1,1,2,0.670465212000181,3.0,1.0,1,wm,4
2,1,1,1,0.634982714000216,3.0,0.5,1,wm,4
2,1,1,2,0.797291748000134,3.0,0.5,1,wm,4
2,0,1,2,0.848017869000159,3.0,1.0,0,wm,4
2,0,1,2,0.538739802000237,3.0,0.5,0,wm,4
2,1,1,2,0.715128467000341,3.0,0.5,1,wm,4
2,1,1,1,0.326205996000226,3.0,1.0,1,wm,4
2,1,1,2,1.91722413200023,3.0,1.0,1,wm,4
2,0,1,2,1.44750699099995,3.0,0.5,0,wm,4
2,0,0,2,1.38092568299999,3.0,0.5,1,wm,4
2,0,1,2,1.33423013299989,3.0,0.5,0,wm,4
2,1,0,3,1.23459038700003,3.0,0.5,0,wm,4
2,1,1,2,1.27191549400004,3.0,0.5,1,wm,4
2,1,0,2,1.65270068200016,3.0,0.5,0,wm,4
2,0,0,2,1.18061502000046,3.0,1.0,1,wm,4
